date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_22_normalized,smart_22_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
2015/1/1,JK11A8B9J7B38F,Hitachi HDS722020ALA330,2.0004E+12,1,99,65537,100,0,132,620,100,12,100,0,100,0,100,0,96,31965,100,0,,,100,12,,,,,,,,,,,,,,,,,,,,,100,728,100,728,206,29,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/2,Z300GQ9T,ST4000DM000,4.00079E+12,1,117,157969864,,,91,0,100,8,100,0,90,997961075,,,86,12866,100,0,,,100,8,,,,,,,100,0,100,0,100,0,100,0,99,1,79,21,100,0,100,3,90,21047,21,21,,,,,100,0,100,0,200,2,,,,,,,,,,,,,,,,,100,2.18249E+14,100,22796007852,100,2.11815E+11,,,,,,,,,,
2015/1/2,6XW0594G,ST31500541AS,1.5003E+12,1,117,167536230,,,100,0,100,66,35,2665,89,10347410166,,,48,45631,100,0,,,100,64,,,,,,,100,0,100,0,100,0,100,2,98,2,73,27,,,,,,,27,27,46,167536230,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,2.40518E+13,100,3418542054,100,2827087005,,,,,,,,,,
2015/1/2,Z3012ABY,ST4000DM000,4.00079E+12,1,117,123702928,,,94,0,100,6,100,16,74,25385899,,,99,895,100,0,,,100,6,,,,,,,99,1,100,0,76,24,100,0,100,0,83,17,100,0,100,0,96,8484,17,17,,,,,100,0,100,0,200,20,,,,,,,,,,,,,,,,,100,866,100,9465442337,100,36577796001,,,,,,,,,,
2015/1/2,6XW063P4,ST31500541AS,1.5003E+12,1,110,25806111,,,100,0,100,40,3,3975,87,649015794,,,76,21494,100,0,,,100,40,,,,,,,100,0,100,0,100,0,100,4295032837,100,0,74,26,,,,,,,26,26,44,25806111,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,1.54224E+14,100,3961233306,100,494003508,,,,,,,,,,
2015/1/2,5XW03KJS,ST31500541AS,1.5003E+12,1,113,186227912,,,100,0,100,56,3,3975,92,1786607828,,,48,46250,100,0,,,100,55,,,,,,,100,0,100,0,100,0,100,0,85,15,73,27,,,,,,,27,27,55,186227912,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,1.75209E+14,100,923218183,100,4049754712,,,,,,,,,,
2015/1/2,Z300W4X3,ST4000DM000,4.00079E+12,1,114,70037144,,,92,0,100,26,100,0,87,649219710,,,90,8879,100,0,,,100,26,,,,,,,99,1,100,0,100,0,100,0,100,0,73,27,100,0,100,16,85,30656,27,27,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,8675,100,19199357641,100,92739584888,,,,,,,,,,
2015/1/3,Z300GZ9L,ST4000DM000,4.00079E+12,1,113,54858288,,,95,0,100,5,100,0,60,1258123,,,86,12892,100,0,,,100,5,,,,,,,100,0,100,0,100,0,100,0,100,0,79,21,100,0,100,3,97,7713,21,21,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,9.91665E+13,100,22909346070,100,2.12919E+11,,,,,,,,,,
2015/1/5,Z302592Q,ST4000DM000,4.00079E+12,1,116,105125912,,,99,0,100,1,100,0,77,57538125,,,99,1424,100,0,,,100,1,,,,,,,100,0,100,0,100,0,100,13,95,5,70,30,100,0,100,0,85,30132,30,30,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,1172,100,6271337994,100,34045635300,,,,,,,,,,
2015/1/5,Z3024VX0,ST4000DM000,4.00079E+12,1,113,52651440,,,99,0,100,1,100,0,77,58147563,,,99,1424,100,0,,,100,1,,,,,,,100,0,100,0,100,0,100,8,98,2,69,31,100,0,100,0,85,30375,31,31,,,,,100,0,100,0,200,1,,,,,,,,,,,,,,,,,100,1174,100,6397150277,100,34431785772,,,,,,,,,,
2015/1/5,JK11A8B9J85P7F,Hitachi HDS722020ALA330,2.0004E+12,1,100,0,100,0,117,614,100,45,100,2,100,0,100,0,96,33809,100,0,,,100,45,,,,,,,,,,,,,,,,,,,,,100,828,100,828,222,27,,,100,2,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/5,W300BD8D,ST4000DM000,4.00079E+12,1,115,97516272,,,93,0,100,15,100,0,89,911266626,,,88,11059,100,0,,,100,14,,,,,,,100,0,100,0,100,0,100,0,95,5,73,27,100,0,100,9,93,14807,27,27,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,2.87978E+13,100,19437666896,100,1.05236E+11,,,,,,,,,,
2015/1/5,S1F0RRB1,ST3000DM001,3.00059E+12,1,72,48467332,,,92,0,100,35,51,64776,89,894149865,,,78,20081,100,0,,,100,34,,,,,,,100,0,100,0,1,841,100,7.81696E+11,100,0,78,22,100,0,100,8,81,39267,22,22,,,,,100,56,100,56,200,1,,,,,,,,,,,,,,,,,100,2.36404E+14,100,3.53878E+11,100,2.25863E+14,,,,,,,,,,
2015/1/5,9XW0338H,ST31500541AS,1.5003E+12,1,103,147371983,,,100,0,100,52,94,268,91,1344755048,,,57,37861,100,0,,,100,52,,,,,,,100,0,100,0,75,25,100,3,100,0,74,26,,,,,,,26,26,48,147371983,,,100,1,100,1,200,0,,,,,,,,,,,,,,,,,100,1.74762E+14,100,1047910006,100,3019369968,,,,,,,,,,
2015/1/5,Z3005HFF,ST4000DM000,4.00079E+12,1,117,132216264,,,91,0,100,26,100,0,89,924105903,,,87,11935,100,0,,,100,26,,,,,,,99,1,100,0,100,0,100,4295032927,85,15,81,19,100,0,100,20,95,10248,19,19,,,,,100,0,100,0,200,3,,,,,,,,,,,,,,,,,100,2.51853E+14,100,25928440018,100,2.17914E+11,,,,,,,,,,
2015/1/5,JK11A8B9J90YJF,Hitachi HDS722020ALA330,2.0004E+12,1,100,0,100,0,115,627,100,45,100,0,100,0,100,0,96,33817,100,0,,,100,45,,,,,,,,,,,,,,,,,,,,,100,865,100,865,253,23,,,100,0,100,0,100,0,200,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/6,W300DDH0,ST4000DM000,4.00079E+12,1,120,236047760,,,92,0,100,15,100,0,82,179284248,,,85,13523,100,0,,,100,16,,,,,,,100,0,100,0,98,2,100,12,97,3,76,24,100,0,100,8,93,15286,24,24,,,,,100,32,100,32,200,3,,,,,,,,,,,,,,,,,100,4.41866E+13,100,21365840974,100,1.32495E+11,,,,,,,,,,
2015/1/6,W300C9H8,ST4000DM000,4.00079E+12,1,106,176542451,,,92,0,100,11,98,2544,90,953134476,,,85,13519,100,0,,,100,11,,,,,,,100,0,100,0,60,40,100,0,97,3,76,24,100,0,100,6,85,31736,24,24,,,,,99,296,99,296,200,0,,,,,,,,,,,,,,,,,100,2.26203E+14,100,19555648080,100,2.14581E+11,,,,,,,,,,
2015/1/6,WD-WCC4N0300786,WDC WD30EFRX,3.00059E+12,1,200,0,,,177,6133,100,29,200,0,100,0,,,88,8992,100,0,100,0,100,29,,,,,,,,,,,,,,,,,,,,,200,2,100,300749,124,26,,,200,0,200,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/6,PL1331LAGTWDMH,HGST HMS5C4040ALE640,4.00079E+12,1,86,10223619,134,100,100,465,100,8,100,1,100,0,113,42,100,2333,100,0,,,100,8,,,,,,,,,,,,,,,,,,,,,100,36,100,36,222,27,,,100,1,100,0,100,0,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/7,Z30251YR,ST4000DM000,4.00079E+12,1,107,13181296,,,98,0,100,2,100,0,73,24399123,,,99,1473,100,0,,,100,2,,,,,,,100,0,100,0,98,2,100,0,100,0,77,23,100,0,100,0,90,21044,23,23,,,,,100,24,100,24,200,0,,,,,,,,,,,,,,,,,100,1327,100,2063289383,100,17814222213,,,,,,,,,,
2015/1/7,Z30260ZS,ST4000DM000,4.00079E+12,1,110,26135384,,,99,0,100,1,100,0,81,138728558,,,98,2001,100,0,,,100,1,,,,,,,100,0,100,0,99,1,100,0,100,0,79,21,100,0,100,0,100,304,21,21,,,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,1993,100,9979154098,100,43028942836,,,,,,,,,,
2015/1/7,Z30250Z1,ST4000DM000,4.00079E+12,1,105,10319008,,,98,0,100,2,100,0,73,24739561,,,99,1473,100,0,,,100,2,,,,,,,100,0,100,0,100,0,100,2,99,1,77,23,100,0,100,0,90,20982,23,23,,,,,100,8,100,8,200,0,,,,,,,,,,,,,,,,,100,1329,100,2059688741,100,17849980233,,,,,,,,,,
2015/1/7,S1F0CTDN,ST3000DM001,3.00059E+12,1,115,184069720,,,92,0,100,38,100,528,89,885546224,,,76,21731,100,0,,,100,38,,,,,,,100,0,100,0,96,4,100,34360262665,100,0,75,25,100,0,100,9,1,387871,25,25,,,,,100,32,100,32,200,3,,,,,,,,,,,,,,,,,100,1.60159E+13,100,6.63975E+11,100,2.17939E+14,,,,,,,,,,
2015/1/7,9VS3HB9E,ST31500341AS,1.5003E+12,1,117,143313071,,,100,0,100,96,36,2647,90,1240071266,,,54,40373,100,0,,,100,96,,,,,,,,,100,0,100,0,100,25770196998,24,76,66,34,,,,,,,34,34,48,143313071,,,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,2.01898E+14,100,3937320073,100,1006293889,,,,,,,,,,
2015/1/7,9VS1YCHT,ST31500341AS,1.5003E+12,1,108,16480818,,,100,0,100,61,33,2772,92,1614513947,,,45,48350,100,0,,,100,61,,,,,,,,,100,0,100,0,100,38655295498,68,32,68,32,,,,,,,32,32,29,16480818,,,100,0,100,0,200,1,,,,,,,,,,,,,,,,,100,1.8166E+14,100,2861758861,100,2416904454,,,,,,,,,,
2015/1/7,WD-WCC4N0886647,WDC WD30EFRX,3.00059E+12,1,200,56,,,179,6041,100,23,200,0,200,0,,,93,5680,100,0,100,0,100,23,,,,,,,,,,,,,,,,,,,,,200,3,200,73,123,27,,,200,0,200,2,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015/1/8,9VS3GG54,ST31500341AS,1.5003E+12,1,116,106656648,,,100,0,100,69,100,24,90,1008342574,,,53,41226,100,0,,,100,69,,,,,,,,,100,0,74,26,100,8590065666,1,183,65,35,,,,,,,35,35,53,106656648,,,100,45,100,45,200,0,,,,,,,,,,,,,,,,,100,1.47154E+14,100,907417785,100,1750045982,,,,,,,,,,
2015/1/8,WD-WMC4N2898188,WDC WD30EFRX,3.00059E+12,1,200,2862,,,100,0,100,5,200,0,200,0,,,98,2179,100,0,100,0,100,5,,,,,,,,,,,,,,,,,,,,,200,1,200,175,132,18,,,200,0,200,1,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
