SN,SFR_L,SFR_R,sample
61A3B002853,463.36,457.1733,1
61A3B002855,554.0267,449.28,1
61A3B002502,544.8591,479.1467,1
61A3B001065,529.8255,498.1333,1
61A3B003328,510.9333,445.2267,1
61A3B005252,438.4,688.8296,2
61A3B001027,579.6267,520.7467,2
61A3B003580,567.7838,535.0137,2
61A3B002488,546.9867,538.6667,2
61A3B002003,519.04,495.7867,2
61A3B005734,548.2953,483.4133,3
61A3B003594,559.5152,586.1622,3
61A3B003557,558.7862,481.4933,3
61A3B004957,539.9467,501.9733,3
61A3B002761,571.9467,515.2,3
61A3B002001,546.3467,528.8533,4
61A3B003589,541.44,509.44,4
61A3B002858,535.4667,523.7333,4
61A3B006524,505.6,486.1867,4
61A3B003505,528.4384,506.4533,4
61A3B003517,560.8889,545.0667,5
61A3B006142,532.9067,510.9333,5
61A3B005516,527.1467,468.2667,5
61A3B005948,557.6533,452.6933,5
61A3B003250,556.5867,550.1867,5
61A3B006669,588.4823,512.2133,6
61A3B001086,522.0267,466.56,6
61A3B001967,579.0145,480.64,6
61A3B002234,569.1275,472.32,6
61A3B002840,569.6,518.1867,6
61A3B003208,588.6259,563.4207,7
61A3B002852,546.56,494.08,7
61A3B004118,511.7867,513.28,7
61A3B002807,593.5556,540.8,7
61A3B004233,515.84,455.68,7
61A3B002489,582.7945,539.2752,8
61A3B006766,531.4133,606.0408,8
61A3B003931,284.8,614.835,8
61A3B004120,564.4027,498.9867,8
61A3B001079,512,447.5733,8
61A3B002486,566.137,481.92,9
61A3B002493,484.6933,446.9333,9
61A3B003560,570.4161,490.88,9
61A3B002470,490.0267,517.9733,9
61A3B001028,519.2533,504.1067,9
61A3B002476,544.6575,595.6757,10
61A3B002484,551.2113,510.08,10
61A3B002762,327.302,674.2626,10
61A3B005281,515.2,498.3467,10
61A3B003901,553.1733,563.021,10
61A3B002271,286.9333,640.2388,11
61A3B004952,531.4133,482.1333,11
61A3B004154,571.027,506.4533,11
61A3B003933,520.1611,480,11
61A3B006969,551.2533,486.4,11
61A3B002496,281.9866,325.9259,12
61A3B003528,523.0933,494.2933,12
61A3B006387,554.4533,503.2533,12
61A3B002480,563.4685,515.84,12
61A3B002004,500.9067,492.16,12
61A3B006537,530.9867,521.3867,13
61A3B005494,570.4828,512.64,13
61A3B002713,541.8667,531.84,13
61A3B002474,266.7383,749.9429,13
61A3B005772,586.2128,543.1467,13
61A3B005746,537.863,489.8133,14
61A3B004069,566.7606,599.4667,14
61A3B006680,564.8794,533.3333,14
61A3B006678,567.2533,495.36,14
61A3B006638,554.6667,501.3333,14
61A3B004838,445.44,629.0286,15
61A3B002295,559.6444,511.7867,15
61A3B006628,551.2533,505.6,15
61A3B006652,513.92,515.84,15
61A3B002848,529.4933,471.4667,15
61A3B006640,476.3733,465.0667,16
61A3B003900,440.5333,534.4,16
61A3B003592,554.88,529.92,16
61A3B002475,562.9867,459.3067,16
61A3B006643,535.68,538.4533,16
61A3B001066,530.8993,519.1837,17
61A3B001009,521.8133,557.2267,17
61A3B004075,515.2,594.1333,17
61A3B006626,610.3607,509.8667,17
61A3B001740,611.2464,586.9781,17
61A3B006765,495.5733,541.2267,18
61A3B001007,585.8133,504.32,18
61A3B003936,558.72,496,18
61A3B006650,504.96,493.44,18
61A3B006627,560,516.6933,18
61A3B006519,550.6207,517.3333,19
61A3B002472,560.2133,517.4422,19
61A3B006933,573.44,540.3733,19
61A3B003060,553.3867,540.7347,19
61A3B006139,564.4058,577.3521,19
61A3B003902,519.4667,506.0267,20
61A3B003198,572.8671,553.8133,20
61A3B002810,545.4933,506.88,20
61A3B005271,558.9333,539.0933,20
61A3B005754,559.4483,542.4966,20
61A3B003454,566.2703,462.9333,21
61A3B003574,581.76,501.9733,21
61A3B004148,593.9021,471.04,21
61A3B003618,493.0133,527.5733,21
61A3B003455,571.7333,540.16,21
61A3B003668,565.9733,520.1067,22
61A3B005352,550.3129,500.2667,22
61A3B003072,539.0933,493.44,22
61A3B005450,451.6267,487.4667,22
61A3B003595,545.0667,561.7067,22
61A3B001082,558.5067,550.6133,23
61A3B003486,533.5467,491.9467,23
61A3B004134,559.5676,519.04,23
61A3B005515,534.069,501.76,23
61A3B003665,508.16,489.8133,23
61A3B003582,544.4267,481.92,24
61A3B003529,557.9597,534.1867,24
61A3B003579,562.5507,509.0133,24
61A3B002473,573.3699,516.48,24
61A3B003457,509.2267,510.5067,24
61A3B001012,547.4133,578.3467,25
61A3B003667,600.7591,484.0533,25
61A3B006529,520.32,451.4133,25
61A3B005447,533.4765,502.4,25
61A3B002479,542.2933,514.1333,25
61A3B002512,462.08,568.1067,26
61A3B002727,576.4295,529.0667,26
61A3B005441,546.7733,512.4267,26
61A3B001011,534.4,487.2533,26
61A3B004095,552.7887,491.3067,26
61A3B002481,485.12,501.5467,27
61A3B004589,558.1745,535.6712,27
61A3B003058,550.7483,555.2432,27
61A3B003899,559.7867,549.9733,27
61A3B002873,508.8,506.4533,27
61A3B000260,558.0979,530.56,28
61A3B005471,582.7606,544.4267,28
61A3B004912,554.7383,543.5733,28
61A3B004787,544,524.16,28
61A3B003855,493.44,494.2933,28
61A3B004782,401.28,524.4298,29
61A3B005444,521.3867,520.32,29
61A3B002469,522.6667,509.44,29
61A3B003663,555.9467,529.0667,29
61A3B002485,270.5067,651.3778,29
61A3B004014,550.4,514.1333,30
61A3B006642,541.0133,507.7333,30
61A3B003934,320.2133,649.7391,30
61A3B003945,556.0268,535.68,30
61A3B002736,556.1905,494.5067,30
61A3B002510,536.32,503.2533,31
61A3B003113,585.7778,468.0533,31
61A3B005410,496.4267,632.7273,31
61A3B004115,560.4324,549.9733,31
61A3B002752,618.449,531.2,31
61A3B003623,553.0811,560.9664,32
61A3B004789,633.8783,495.36,32
61A3B003459,486.8267,483.4133,32
61A3B005947,555.1515,514.56,32
61A3B005752,581.5839,510.2933,32
61A3B001481,545.0884,527.5733,33
61A3B002182,553.1733,509.1892,33
61A3B003670,551.04,526.2933,33
61A3B006925,559.5733,481.7067,33
61A3B003503,515.84,490.88,33
61A3B003196,551.7163,500.2667,34
61A3B002824,577.8286,490.6667,34
61A3B001081,536.7467,530.1333,34
61A3B003101,489.3867,423.68,34
61A3B004758,562.4698,513.92,34
61A3B003479,480.2133,450.1333,35
61A3B004808,557.745,501.3333,35
61A3B004805,572.8,507.52,35
61A3B003255,513.7067,580.0533,35
61A3B004585,421.5467,731.2593,35
61A3B002742,554.88,552.5906,36
61A3B003883,488.32,469.12,36
61A3B004790,589.9597,496.9664,36
61A3B005443,489.3867,476.3733,36
61A3B004781,571.3067,547.483,36
61A3B004757,536.32,524.16,37
61A3B005472,220.5638,588.9438,37
61A3B002744,485.3333,478.9333,37
61A3B002505,515.84,567.2533,37
