SN,TEST_DATE,IMEI NUMBER,SFR_L,SFR_R,sample
61A3J023604,2019/3/21 09:00,351852100968600,599.4839,540.16,1
61A3J021716,2019/3/21 09:00,351852100949725,525.2267,499.84,1
61A3J024044,2019/3/21 09:01,351852100973006,577.28,507.3067,1
61A3J021676,2019/3/21 09:01,351852100949329,582.6577,477.6533,1
61A3J023544,2019/3/21 09:02,351852100968006,575.5524,493.8667,1
61A3J023204,2019/3/21 09:03,351852100964609,557.44,529.0667,2
61A3J022449,2019/3/21 09:03,351852100957058,590.9333,562.1333,2
61A3J021846,2019/3/21 09:04,351852100951028,566.0541,495.1467,2
61A3J021478,2019/3/21 09:04,351852100947349,572.8,513.28,2
61A3J022754,2019/3/21 09:05,351852100960102,554.5899,511.7867,2
61A3J021988,2019/3/21 09:05,351852100952448,555.0677,472.7467,3
61A3J021565,2019/3/21 09:06,351852100948214,558.9489,503.04,3
61A3J022661,2019/3/21 09:07,351852100959179,472.5333,481.92,3
61A3J023463,2019/3/21 09:07,351852100967198,588.5867,495.1467,3
61A3J022235,2019/3/21 09:08,351852100954915,607.5077,484.6933,3
61A3J022447,2019/3/21 09:09,351852100957033,564.9067,507.7333,4
61A3J021673,2019/3/21 09:09,351852100949295,555.52,487.8933,4
61A3J023499,2019/3/21 09:10,351852100967552,593.28,452.0533,4
61A3J024573,2019/3/21 09:10,351852100978294,550.6133,533.76,4
61A3J024613,2019/3/21 09:11,351852100978690,584.5333,519.3514,4
61A3J022685,2019/3/21 09:11,351852100959419,479.36,579.84,5
61A3J021542,2019/3/21 09:12,351852100947984,556.7123,531.6267,5
61A3J024617,2019/3/21 09:13,351852100978732,493.2267,490.6667,5
61A3J021727,2019/3/21 09:13,351852100949832,523.9467,514.7733,5
61A3J023465,2019/3/21 09:14,351852100967214,595.7447,489.3867,5
61A3J022448,2019/3/21 09:15,351852100957041,518.8267,479.1467,6
61A3J021841,2019/3/21 09:15,351852100950970,588.4932,530.7733,6
61A3J022437,2019/3/21 09:17,351852100956936,578.816,515.6267,6
61A3J022353,2019/3/21 09:17,351852100956092,547.831,503.04,6
61A3J022665,2019/3/21 09:18,351852100959211,512.64,481.4933,6
61A3J022653,2019/3/21 09:19,351852100959096,566.2815,514.9867,7
61A3J022699,2019/3/21 09:19,351852100959559,560.9664,507.9467,7
61A3J022450,2019/3/21 09:20,351852100957066,578.3467,526.5067,7
61A3J023491,2019/3/21 09:21,351852100967479,467.2,414.08,7
61A3J022660,2019/3/21 09:22,351852100959161,595.1141,439.68,7
61A3J021250,2019/3/21 09:22,351852100945061,623.1181,505.3867,8
61A3J021830,2019/3/21 09:23,351852100950863,560.3504,553.1733,8
61A3J023602,2019/3/21 09:23,351852100968584,545.3521,609.3241,8
61A3J022677,2019/3/21 09:24,351852100959336,547.84,529.92,8
61A3J024069,2019/3/21 09:25,351852100973253,548.48,517.12,8
61A3J021715,2019/3/21 09:25,351852100949717,581.3333,543.5733,9
61A3J024323,2019/3/21 09:26,351852100975795,502.8267,482.9867,9
61A3J022654,2019/3/21 09:27,351852100959104,584.7467,490.6667,9
61A3J022663,2019/3/21 09:27,351852100959195,540.1418,542.5067,9
61A3J021759,2019/3/21 09:28,351852100950152,588.3733,544.64,9
61A3J024054,2019/3/21 09:28,351852100973105,583.2533,558.72,10
61A3J022346,2019/3/21 09:29,351852100956027,561.28,535.68,10
61A3J024295,2019/3/21 09:30,351852100975514,528.8533,475.9467,10
61A3J022151,2019/3/21 09:30,351852100954071,233.8133,529.0667,10
61A3J024520,2019/3/21 09:31,351852100977767,568.6486,512.64,10
