failure,smart_1_raw,smart_3_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_10_raw,smart_12_raw,smart_187_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_199_raw
0,0,540,14,0,0,27929,0,14,0,0,216,216,20,0,0,0
0,54551400,0,4,0,2590344,411,0,4,0,0,0,16090,30,0,0,0
0,0,566,19,0,0,27492,0,18,0,0,213,213,24,0,0,0
0,0,507,15,0,0,26640,0,15,0,0,241,241,31,0,0,0
0,0,6250,10,0,0,12198,0,10,0,0,3,361,29,0,0,0
0,0,514,29,0,0,24589,0,29,0,0,40,40,27,0,0,0
0,0,575,16,0,0,37396,0,16,0,0,1370,1370,22,0,0,0
0,13985080,0,3,0,205899370,5506,0,3,0,0,0,31005,26,0,0,0
0,109242152,0,3,0,147076746,4016,0,3,0,0,0,38958,27,0,0,0
0,46112000,0,16,0,301215729,5130,0,16,0,0,2,203,20,0,0,0
0,117245752,0,7,0,4800431712,10639,0,7,0,0,1,32440,25,0,0,0
0,0,514,29,0,0,24592,0,29,0,0,40,40,25,0,0,0
0,0,561,17,67,0,36338,0,17,0,0,1272,1272,24,0,0,4
0,0,0,4,0,0,12153,0,3,0,0,157,157,29,0,0,0
0,0,448,5,0,0,13978,0,5,0,0,103,103,25,0,0,0
0,19906016,0,2,0,99343394,2116,0,2,0,0,0,2027,26,0,0,0
0,176785088,0,13,0,571920920,20293,0,13,0,0,4,20894,30,0,0,0
0,0,0,3,0,0,12756,0,3,0,0,113,113,35,0,0,0
0,0,0,3,0,0,15346,0,3,0,0,61,61,27,0,0,0
0,210343512,0,2,0,245702624,6201,0,2,0,0,0,19601,21,0,0,0
0,41946472,0,5,0,67464248,1544,0,5,0,0,0,5047,30,0,0,0
0,136031957,0,9,0,454352704,6752,0,8,0,3739,0,4838,21,0,0,0
0,0,441,7,0,0,11744,0,7,0,0,70,70,35,0,0,0
0,231108752,0,7,0,181391840,4406,0,7,0,0,0,25767,36,0,0,0
0,19871112,0,2,0,99560444,2117,0,2,0,0,0,1812,25,0,0,0
0,0,554,24,0,0,39485,0,24,0,0,1495,1495,32,0,0,0
0,142468400,0,5,0,172362374,4400,0,5,0,0,0,24718,33,0,0,0
0,65536,567,10,0,0,32644,0,10,0,0,12,12,28,0,0,0
0,0,545,15,0,0,24639,0,15,0,0,20,20,25,0,0,0
0,0,0,3,0,0,12151,0,3,0,0,159,159,25,0,0,0
0,0,460,8,0,0,11262,0,8,0,0,203,203,25,0,0,0
0,48441272,0,8,0,416024642,6632,0,7,0,14089,0,52465,24,0,0,0
0,107787840,0,3,0,67868506,1523,0,3,0,0,0,4893,31,0,0,0
0,0,564,16,94,0,36089,0,14,0,0,18,18,28,0,0,0
0,111507400,0,10,0,340808657,7210,0,9,0,0,0,8089,29,0,0,0
0,0,481,9,0,0,28613,0,9,0,0,13,13,31,0,0,0
0,0,561,19,0,0,37770,0,19,0,0,1400,1400,27,0,0,0
0,239686736,0,15,0,480414453,20880,0,15,0,0,8,6573,26,0,0,1
0,25267800,0,3,0,466998745,6632,0,2,0,5576,0,5425,19,0,0,0
0,0,436,5,0,0,13498,0,5,0,0,181,181,27,0,0,0
0,0,559,9,102,0,13664,0,9,0,0,381,381,23,0,0,0
0,0,621,25,0,0,45891,0,24,0,0,839,839,38,0,0,0
0,0,0,4,0,0,14097,0,4,0,0,44,44,27,0,0,0
0,0,557,12,0,0,27165,0,12,0,0,177,177,27,0,0,0
0,0,448,5,0,0,13616,0,5,0,0,109,109,31,0,0,0
0,0,448,9,0,0,14650,0,9,0,0,147,147,30,0,0,0
0,0,557,17,0,0,25474,0,17,0,0,21,21,18,0,0,10
0,67192248,0,4,0,57265398,1374,0,4,0,0,0,10428,26,0,0,0
0,48281856,0,2,0,2528817,394,0,2,0,0,0,15985,29,0,0,0
0,0,568,20,0,0,24638,0,20,0,0,24,24,25,0,0,0
0,235710656,0,5,0,68500588,1539,0,5,0,0,0,7721,29,0,0,0
0,63991240,0,11,0,43996131,17475,0,10,0,0,1,31963,22,0,0,0
0,6863288,0,7,0,421276127,17908,0,7,0,0,2,8663,22,0,0,0
0,130684464,0,4,0,288011170,16687,0,4,0,0,1,3334,19,0,0,0
0,163413448,0,3,0,66131098,15487,0,3,0,0,1,2526,26,0,0,0
0,0,448,9,0,0,10973,0,9,0,0,63,63,23,0,0,0
0,0,0,1,0,0,13982,0,1,0,0,99,99,25,0,0,0
0,147315088,0,13,0,220267654,5219,0,13,0,0,0,34932,28,0,0,0
0,48309208,0,2,0,52154050,1065,0,2,0,0,0,1491,28,0,0,0
0,37259224,0,5,0,67767645,1539,0,5,0,0,0,7777,27,0,0,0
0,186502168,0,5,0,67791177,1539,0,5,0,0,0,5235,28,0,0,0
0,0,525,14,0,0,26640,0,14,0,0,225,225,31,0,0,0
0,131073,489,8,0,0,30555,0,8,0,0,9,9,25,0,0,0
0,0,0,4,0,0,10951,0,4,0,0,139,139,19,0,0,0
0,169514096,0,15,0,111978952,17132,0,15,0,0,14,9205,29,0,0,0
0,0,0,4,0,0,12609,0,4,0,0,140,140,27,0,0,0
0,175636848,0,24,0,298711670,20685,0,24,0,0,9,45544,26,0,0,0
0,160342656,0,2,0,65077836,1543,0,2,0,0,0,4627,27,0,0,0
0,0,0,3,0,0,13473,0,3,0,0,60,60,21,0,0,0
0,76974640,0,12,0,387298822,17948,0,12,0,0,5,11492,23,0,0,0
0,0,609,52,0,0,42480,0,52,0,0,1072,1072,29,0,0,0
0,0,0,1,0,0,5553,0,1,0,0,0,202,28,0,0,0
0,147306544,0,4,0,33404105,1023,0,4,0,0,0,6684,27,0,0,0
0,214000472,0,6,0,370409989,17950,0,6,0,0,1,18522,30,0,0,0
0,139058928,0,1,0,135947306,3156,0,1,0,0,0,12834,32,0,0,0
0,65731960,0,9,0,3708309,723,0,8,0,0,0,18148,27,0,0,0
0,0,570,21,0,0,27492,0,21,0,0,229,229,23,0,0,0
0,203832543,0,87,0,1644062916,54429,0,87,0,0,0,0,27,0,0,0
0,0,559,11,0,0,32704,0,11,0,0,13,13,25,0,0,0
0,31841200,0,12,0,383690723,17978,0,12,0,0,9,4494,25,0,0,0
0,79492720,0,3,0,266885619,5528,0,3,0,0,0,29624,21,0,0,0
0,0,449,9,0,0,32313,0,9,0,0,12,12,30,0,0,0
0,220899048,0,6,0,206005101,5456,0,6,0,0,0,31207,34,0,0,0
0,7750661,0,30,0,3126637673,23057,0,32,0,0,14,31,33,0,0,0
0,160690368,0,4,0,98059783,2048,0,4,0,0,0,2366,33,0,0,0
0,0,435,9,0,0,14937,0,9,0,0,106,106,31,0,0,0
0,0,0,4,0,0,14000,0,4,0,0,68,68,37,0,0,0
0,56765056,0,13,0,207894888,5219,0,13,0,0,0,34434,27,0,0,0
0,851981,447,7,0,0,14436,0,7,0,0,211,211,30,0,0,0
0,28521336,0,4,0,535134325,8956,0,4,0,0,0,2883,36,0,0,0
0,168682776,0,4,0,92900269,2049,0,4,0,0,0,2295,31,0,0,0
0,71624752,0,1,0,572134094,9342,0,1,0,0,0,84,32,0,0,0
0,0,564,12,0,0,32643,0,12,0,0,14,14,29,0,0,0
0,234469600,0,2,0,89806402,2198,0,2,0,0,0,11252,26,0,0,0
0,0,0,3,0,0,12967,0,3,0,0,206,206,35,0,0,0
0,0,433,5,0,0,12754,0,5,0,0,68,68,34,0,0,0
