failure,smart_1_raw,smart_3_raw,smart_4_raw,smart_5_raw,smart_7_raw,smart_9_raw,smart_10_raw,smart_12_raw,smart_187_raw,smart_191_raw,smart_192_raw,smart_193_raw,smart_194_raw,smart_197_raw,smart_198_raw,smart_199_raw
1,65537,620,12,0,0,31965,0,12,0,0,728,728,29,0,0,0
1,157969864,0,8,0,997961075,12866,0,8,0,0,3,21047,21,0,0,2
1,167536230,0,66,2665,10347410166,45631,0,64,0,0,0,0,27,0,0,0
1,123702928,0,6,16,25385899,895,0,6,24,0,0,8484,17,0,0,20
1,25806111,0,40,3975,649015794,21494,0,40,0,0,0,0,26,0,0,0
1,186227912,0,56,3975,1786607828,46250,0,55,0,0,0,0,27,0,0,0
1,70037144,0,26,0,649219710,8879,0,26,0,0,16,30656,27,0,0,0
1,54858288,0,5,0,1258123,12892,0,5,0,0,3,7713,21,0,0,0
1,105125912,0,1,0,57538125,1424,0,1,0,0,0,30132,30,0,0,0
1,52651440,0,1,0,58147563,1424,0,1,0,0,0,30375,31,0,0,1
1,0,614,45,2,0,33809,0,45,0,0,828,828,27,0,0,0
1,97516272,0,15,0,911266626,11059,0,14,0,0,9,14807,27,0,0,0
1,48467332,0,35,64776,894149865,20081,0,34,841,0,8,39267,22,56,56,1
1,147371983,0,52,268,1344755048,37861,0,52,25,0,0,0,26,1,1,0
1,132216264,0,26,0,924105903,11935,0,26,0,0,20,10248,19,0,0,3
1,0,627,45,0,0,33817,0,45,0,0,865,865,23,0,0,1
1,236047760,0,15,0,179284248,13523,0,16,2,0,8,15286,24,32,32,3
1,176542451,0,11,2544,953134476,13519,0,11,40,0,6,31736,24,296,296,0
1,0,6133,29,0,0,8992,0,29,0,0,2,300749,26,0,0,0
1,10223619,465,8,1,0,2333,0,8,0,0,36,36,27,0,0,0
1,13181296,0,2,0,24399123,1473,0,2,2,0,0,21044,23,24,24,0
1,26135384,0,1,0,138728558,2001,0,1,1,0,0,304,21,0,0,0
1,10319008,0,2,0,24739561,1473,0,2,0,0,0,20982,23,8,8,0
1,184069720,0,38,528,885546224,21731,0,38,4,0,9,387871,25,32,32,3
1,143313071,0,96,2647,1240071266,40373,0,96,0,0,0,0,34,0,0,0
1,16480818,0,61,2772,1614513947,48350,0,61,0,0,0,0,32,0,0,1
1,56,6041,23,0,0,5680,0,23,0,0,3,73,27,2,0,0
1,106656648,0,69,24,1008342574,41226,0,69,26,0,0,0,35,45,45,0
1,2862,0,5,0,0,2179,0,5,0,0,1,175,18,1,0,0
1,21954915,562,18,0,0,28682,0,18,0,0,1037,1037,21,3,0,0
1,2646,5966,10,1,0,4591,0,10,0,0,1,137,22,2,0,0
1,117,6066,10,1,0,3654,0,10,0,0,1,8,28,0,0,0
1,0,449,9,1942,0,5097,0,9,0,0,3652,3652,28,0,0,0
1,136429411,0,65,64784,877602771,18736,0,65,406,0,30,224801,27,8,8,0
1,4981711,556,34,0,0,29083,0,34,0,0,15264,15264,28,0,0,0
1,72289176,0,6,176,597540893,7401,0,6,109,0,1,12761,30,168,168,0
1,0,0,4,2,65536,4399,0,4,0,0,32,32,34,0,0,0
1,14694712,0,8,0,6772880,11753,0,8,1,0,5,5478,23,0,0,0
1,56117326,0,2,0,60808882,850,0,2,6,0,0,97,19,0,0,0
1,79409940,0,72,1789,1940638663,49928,0,72,0,0,0,0,27,38,38,0
1,6,6191,19,0,0,7276,0,19,0,0,1,217601,28,1,0,0
1,1170,0,3,100,2097210,2602,0,3,0,0,283,283,22,864,0,0
1,98139464,0,8,0,8702258,11753,0,8,37,0,5,5163,19,0,0,0
1,226923184,0,1,0,25301410,822,0,1,24,0,0,658,26,0,0,0
1,119001720,0,14,32,933459317,12396,0,14,21,0,4,30872,28,216,216,0
1,29212760,0,5,7928,675135228,8075,0,5,18,0,2,2481,22,0,0,0
1,167610384,0,4,0,847693413,10471,0,4,1,0,1,2082,23,16,16,0
1,91991640,0,4,0,675877598,8212,0,4,0,0,2,13886,20,0,0,0
1,30488568,0,7,0,582883528,7497,0,7,0,0,1,15324,29,0,0,0
1,88978744,0,4,0,21948661,517,0,4,37,0,1,598,29,8,8,0
1,0,520,69,71,0,35086,0,69,0,0,974,974,32,0,0,0
1,188251248,0,25,2040,9.88295e+11,17594,0,25,0,0,6,39345,25,32,32,1
1,65543,629,23,19,0,36710,0,23,0,0,997,997,31,1,0,0
1,192630944,0,5,0,681305404,8214,0,5,5,0,1,4259,23,40,40,0
1,220461296,0,44,0,771200271,17800,0,43,0,0,14,325125,24,0,0,0
1,103103120,0,51,0,5234394910,11445,0,51,0,0,49,5847,28,64,64,0
1,118166940,0,85,2,6370834541,49642,0,85,0,0,0,0,30,0,0,4
1,152115463,0,53,501,1686689444,43748,0,53,1,0,0,0,26,0,0,0
1,1030499023,631,26,1890,0,36767,0,26,0,0,929,929,27,12,0,0
1,20439944,0,29,0,9290019247,13730,0,29,0,0,9,29,28,0,0,0
1,0,622,38,1,0,36765,0,38,0,0,1014,1014,27,0,0,2
1,0,436,8,0,0,4068,0,8,0,0,45,45,27,0,0,292
1,0,623,46,1,0,34082,0,46,0,0,886,886,24,0,0,0
1,101741232,0,4,0,859334057,10543,0,4,0,0,1,581,20,0,0,0
1,76910188,0,14,0,19238573930,14999,0,14,0,0,6,14,31,0,0,0
1,0,613,46,2,0,34081,0,46,0,0,865,865,23,0,0,0
1,154998752,0,24,1312,4168243,21353,0,24,18,0,10,306996,26,0,0,0
1,78218711,0,33,0,1970281328,47110,0,33,1,0,0,0,26,0,0,1
1,54292264,0,25,64736,111414351,21836,0,24,160,0,11,192179,23,0,0,2
1,77877592,0,37,0,474595967,17916,0,37,0,0,12,233238,25,0,0,0
1,66458456,0,52,0,938833208,11514,0,52,0,0,49,6472,26,0,0,0
1,241813024,0,23,3528,916843122,17655,0,23,74,0,6,106159,23,16,16,0
1,163342800,0,23,0,863970529,19278,0,23,6,0,7,239297,21,24,24,0
1,2928076,0,57,6,1705696099,45586,0,57,6,0,0,0,24,0,0,0
1,19113176,0,11,16,701029726,8358,0,11,3,0,1,39450,25,0,0,0
1,21389544,0,26,0,22293976512,17678,0,26,60,0,10,209721,20,16,16,0
1,120878440,0,32,304,706968,21726,0,31,34,0,7,298439,26,40,40,52
1,159635352,0,23,0,99029245,21348,0,23,9,0,7,231336,27,16,16,0
1,120017840,0,1,8,121630466,1761,0,1,4,0,0,250,30,0,0,0
1,226090184,0,22,0,228718774,7832,0,22,0,0,12,93821,21,8,8,10
1,64499464,0,59,0,367616084,21132,0,57,1,0,19,514661,20,16,16,3
1,0,558,18,0,0,6318,0,18,0,0,76,76,28,0,0,0
1,238299872,0,40,1184,965593696,20245,0,40,0,0,14,268662,27,8,8,0
1,127523200,0,55,2696,1662532893,43866,0,55,1,0,0,0,28,0,0,0
1,3812072,0,29,0,1.04804e+12,18705,0,29,0,0,12,29,28,0,0,0
1,178102642,0,32,10288,43118423,21425,0,32,48,0,8,261020,26,424,424,1
1,0,553,14,0,0,4308,0,14,0,0,99,99,22,72,0,0
1,160124305,0,16,1,1990178918,15095,0,16,6,0,6,139,31,2,2,0
1,114801008,0,25,0,445422270,7844,0,25,0,0,18,95170,30,0,0,0
1,12,6050,7,0,0,3476,0,7,0,0,3,3,25,0,0,0
1,137912920,0,4,0,1418815,31,0,4,0,0,1,5,20,48,48,0
1,91755976,0,17,0,5.19757e+11,7198,0,17,6,0,5,166921,22,16,16,0
1,162244840,0,1,0,75855333,1017,0,1,0,0,0,85,27,0,0,0
1,2285,6066,31,0,0,9210,0,31,0,0,2,310960,28,2,0,0
1,196133192,0,9,8,1.72667e+11,9663,0,9,19,0,4,7133,24,56,56,0
1,4618929,0,66,15,1661747478,48835,0,65,0,0,0,0,27,0,0,0
1,69819062,0,13,2456,98990315,5632,0,11,453,0,0,91781,33,608,608,0
1,0,0,4,0,0,3324,0,4,0,0,32,32,25,0,0,6
1,22646880,0,37,0,76514278,21467,0,37,58,0,12,244253,23,0,0,0
1,804,5358,11,0,0,5739,0,11,0,0,2,121763,22,2,0,0
